TimeStamp,StandardTemperature,Humidity,Wind,Ticket1,Ticket2
2068-04-18 03:00:00,0.2848355924,47.75442,0.22155355039,1,3
2068-05-20 19:00:00,0.6145879472,48.729,0.41352044979,108,233
2067-06-10 21:00:00,0.6145879472,28.26282,0.10340485045,52,197
2067-01-08 02:00:00,0.2697973812,77.9664,0,6,28
2067-08-07 00:00:00,0.689581132,53.6019,0.08866100096,34,81
2068-02-27 22:00:00,0.3148130792,43.8561,0.08866100096,10,54
2067-08-06 00:00:00,0.689581132,53.6019,0.1919668994,61,74
2068-05-01 14:00:00,0.4796397888,24.3645,0.38403275081,51,167
2067-06-12 20:00:00,0.6145879472,67.24602,0.1919668994,85,196
2067-01-18 19:00:00,0.2248806188,90.63594,0,1,52
2067-08-12 08:00:00,0.644565434,63.3477,0.22155355039,40,416
2067-06-26 00:00:00,0.644565434,63.3477,0,19,72
2067-03-03 18:00:00,0.299774868,84.78846,0.32495840084,6,133
2067-05-31 23:00:00,0.6145879472,72.11892,0.16247920042,14,54
2068-08-13 00:00:00,0.689581132,76.99182,0,10,25
2067-07-31 16:00:00,0.839468566,40.93236,0.25104124937,63,188
2067-03-19 04:00:00,0.2248806188,63.3477,0.25104124937,1,2
2067-05-13 05:00:00,0.344790566,78.94098,0.10340485045,1,17
2068-04-11 18:00:00,0.6145879472,39.95778,0.25104124937,114,647
2068-06-09 16:00:00,0.6145879472,37.03404,0.25104124937,276,370
2068-03-22 11:00:00,0.5246554868,58.4748,0.13289254943,61,152
2067-12-22 18:00:00,0.494678,57.50022,0.29537174985,15,364
2068-04-19 09:00:00,0.3297523548,55.55106,0.35444609982,17,272
2067-08-23 20:00:00,0.6596036452,49.70358,0,49,233
2067-07-09 15:00:00,0.7195586188,18.51702,0.16247920042,169,164
2068-02-04 12:00:00,0.2848355924,59.44938,0.28062790036,71,245
2068-04-15 13:00:00,0.539693698,22.41534,0.16247920042,230,255
2067-09-18 00:00:01,0.5546329736,85.76304,0,30,80
2067-08-24 04:00:01,0.5996486716,71.14434,0,1,6
2067-04-30 05:00:01,0.3597298416,97.458,0,2,7
2067-12-08 11:00:01,0.3148130792,47.75442,0.25104124937,8,96
2067-06-01 09:00:01,0.6296261584,63.3477,0.08866100096,28,208
2068-06-06 12:00:01,0.644565434,52.62732,0,34,221
2068-04-17 05:00:01,0.3297523548,69.19518,0.13289254943,1,25
2068-07-26 02:00:01,0.6745429208,68.2206,0.1919668994,1,8
2068-08-15 20:00:01,0.689581132,64.32228,0.1919668994,77,425
2068-05-10 14:00:01,0.5996486716,63.3477,0.1919668994,34,172
2067-09-09 02:00:01,0.5846104604,71.14434,0.10340485045,10,12
2068-03-28 04:00:01,0.4796397888,85.76304,0.13289254943,1,5
2067-04-10 17:00:01,0.449662302,27.28824,0.13289254943,149,127
2068-02-20 20:00:01,0.299774868,40.93236,0.16247920042,5,211
2067-05-17 18:00:01,0.6145879472,28.26282,0.13289254943,71,481
2067-05-22 10:00:01,0.539693698,80.89014,0.22155355039,74,154
2068-07-25 13:00:01,0.839468566,32.16114,0,50,155
2067-01-12 07:00:01,0.1798649208,41.90694,0.1919668994,2,88
2068-01-26 08:00:01,0.149887434,52.62732,0.10340485045,10,415
2067-10-31 09:00:01,0.4347230264,79.91556,0.16247920042,30,167
2067-01-27 12:00:01,0.3297523548,40.93236,0,8,78
2067-02-08 02:00:01,0.2248806188,67.24602,0,1,3
2067-05-30 06:00:01,0.5097162112,97.458,0,5,93
2068-07-02 03:00:01,0.6296261584,67.24602,0.25104124937,2,5
2067-11-22 13:00:01,0.5097162112,58.4748,0.22155355039,22,133
2068-05-14 00:00:01,0.494678,75.04266,0.13289254943,14,22
2067-09-10 07:00:01,0.5846104604,71.14434,0.1919668994,6,34
2067-03-28 17:00:01,0.5097162112,62.37312,0.25104124937,42,232
2067-09-02 13:00:01,0.7344978944,57.50022,0.10340485045,73,166
2067-02-07 13:00:01,0.2248806188,57.50022,0,3,53
2067-09-25 03:00:01,0.4347230264,79.91556,0.1919668994,12,26
2067-04-29 18:00:01,0.299774868,90.63594,0.22155355039,5,48
